"lijnkleurURI,""id"",""fase"",""nummer"",""hex"",""R"",""G"",""B"",""optie"""
"http://digitalbuildingdata.tech/nlcs/def/7a222cab-4254-4426-bab3-f0774a8636a0,""241"",""11"",""141"",""#AAEAFF"",""170"",""234"",""255"","""""
"http://digitalbuildingdata.tech/nlcs/def/955d2fe7-6423-4395-bf54-ec38839bec8a,""242"",""12"",""142"",""#008DBD"",""0"",""141"",""189"","""""
"http://digitalbuildingdata.tech/nlcs/def/eadcf41b-016b-4164-8718-be2413274232,""243"",""13"",""143"",""#7EADBD"",""126"",""173"",""189"","""""
"http://digitalbuildingdata.tech/nlcs/def/63d258df-c26a-48ff-bb48-905b3180548a,""244"",""14"",""144"",""#006081"",""0"",""96"",""129"","""""
"http://digitalbuildingdata.tech/nlcs/def/ed08b6ce-1a85-4fc8-90fb-7500e39073cc,""245"",""15"",""145"",""#567681"",""86"",""118"",""129"","""""
"http://digitalbuildingdata.tech/nlcs/def/260f54cc-3e4f-4a30-9741-7831aa94b26e,""246"",""16"",""146"",""#004E68"",""0"",""78"",""104"","""""
"http://digitalbuildingdata.tech/nlcs/def/a27b139b-fce6-4f18-bd2c-232b4b05d707,""247"",""17"",""147"",""#455F68"",""69"",""95"",""104"","""""
"http://digitalbuildingdata.tech/nlcs/def/389c7f41-f53b-4110-97d4-c380a2a1df2f,""248"",""18"",""148"",""#003B4F"",""0"",""59"",""79"","""""
"http://digitalbuildingdata.tech/nlcs/def/2e97dabe-0644-4480-931a-c67ea971b371,""249"",""19"",""149"",""#35494F"",""53"",""73"",""79"","""""
"http://digitalbuildingdata.tech/nlcs/def/9581bafe-5d14-4c6f-a22b-d573f8bfab25,""250"",""10"",""150"",""#007FFF"",""0"",""127"",""255"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/be528555-74c7-406e-918f-c4e6a93b7dc2,""251"",""11"",""151"",""#AAD4FF"",""170"",""212"",""255"","""""
"http://digitalbuildingdata.tech/nlcs/def/3985dce9-6415-4eff-b557-3301a68a36c8,""252"",""12"",""152"",""#005EBD"",""0"",""94"",""189"",""AK"""
"http://digitalbuildingdata.tech/nlcs/def/49237be8-8d7b-41d9-ae6b-f41caac7c373,""253"",""13"",""153"",""#7E9DBD"",""126"",""157"",""189"","""""
"http://digitalbuildingdata.tech/nlcs/def/3dbbf84f-034b-45af-bfeb-29d754a78f80,""254"",""14"",""154"",""#004081"",""0"",""64"",""129"","""""
"http://digitalbuildingdata.tech/nlcs/def/6763d699-1c76-4660-9bf4-9d618fdb0992,""255"",""15"",""155"",""#566B81"",""86"",""107"",""129"","""""
"http://digitalbuildingdata.tech/nlcs/def/dc68c4c6-de51-452f-92d5-b9788647044c,""256"",""16"",""156"",""#003468"",""0"",""52"",""104"","""""
"http://digitalbuildingdata.tech/nlcs/def/beb8fa2f-ffe4-4ce1-919f-147e096bf42f,""257"",""17"",""157"",""#455668"",""69"",""86"",""104"","""""
