name;hoofdNames;topNames;numUri
POMP_KABEL;KL;NLCS-object;1
HOOGTEDETECTIE_KABEL;KL;NLCS-object;1
VS_KABEL;KL;NLCS-object;1
BRANDSTOF_HULPSTUK_AANSLUITPUNT;KL;NLCS-object;1
BRANDSTOF_HULPSTUK_DRUKMEETPUNT;KL;NLCS-object;1
BRANDSTOF_HULPSTUK_AFSLUITER;KL;NLCS-object;1
BRANDSTOF_HULPSTUK_ONTLUCHTING;KL;NLCS-object;1
BRANDSTOF_TRANSPORTLEIDING_STAAL;KL;NLCS-object;1
BRANDSTOF_TRANSPORTLEIDING_GVK;KL;NLCS-object;1
BRANDSTOF_TRANSPORTLEIDING_PE;KL;NLCS-object;1
WARMTENET_AANSLUITLEIDING_AANVOER;KL;NLCS-object;1
WARMTENET_AANSLUITLEIDING_RETOUR;KL;NLCS-object;1
WARMTENET_REDUCTIESTUK_SPP_DN400 630 DN350 560;KL;NLCS-object;1
WARMTENET_REDUCTIESTUK_SPP_DN250 450 DN200 355;KL;NLCS-object;1
WARMTENET_REDUCTIESTUK_SPP_DN32 125 DN25 110;KL;NLCS-object;1
