number,title,state,labels,milestone,release_notes
630,Gebruikersvraag: aansluiten beheersysteem/GIS/IMBOR op NLCS,CLOSED,RI_riolering-en-GWSW; IMBOR,Gebruikersvragen,
631,NLCS Classificatie Rioleringen: Beheeromgeving inrichten,CLOSED,RI_riolering-en-GWSW; Ontologie,Alignment GWSW,
632,Vlakvulling NLCS 5... BGT mapping aanpassen,OPEN,BGT; kleuren,Inhoudelijke issues release xx,
633,PDOK Thema Stedelijk Water <> wat is de minimale dataset volgens GWSW?,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
634,Vraagstuk gezamenlijke symbolen NLCS en PDOK Thema Stedelijk Water,OPEN,RI_riolering-en-GWSW; Symbolen,Inhoudelijke backlog,
635,NLCS classificatie rioleringen maken op basis van bestaand alignment NLCS-GWSW,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
636,Documentatie opstellen met use cases alignments NLCS rioleringen,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
637,"Gezamenlijke publicatie van symbolen GWSW/NLCS in DWG, DGN en SVG",CLOSED,duplicate; RI_riolering-en-GWSW; Symbolen,Inhoudelijke backlog,
638,Inrichten beheeromgeving alignment NLCS Classificatie - NLCS Basis Rioleringen,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
639,Inrichten viewer alignment NLCS Classificatie Rioleringen - NLCS Laagnamen,CLOSED,RI_riolering-en-GWSW,Alignment GWSW,
640,Ter besluit beheercommissie: Prioritering technische ontwikkelingen NLCS,CLOSED,BOMOS; GroeipadDSGO/NLCS,Technische backlog,
641,Feedback op tabellen 5.1,CLOSED,publicatie,Technische issues voor NLCS 5.1,
642,Automatic generation of output csv's,CLOSED,publicatie,Inhoudelijke issues Release 5.1,
643,Query to check on subobject above,CLOSED,publicatie,Inhoudelijke issues Release 5.1,
