;;; File   : RTW_rtwbreed_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: Tabel met alle RTW lagen tbv RTW toolbox discipline: rtwbreed

Posities:
POS_AANTLAAGNAAM   140
POS_LAAGNAAM       5
POS_LW_BS          45
POS_KL_BS          50
POS_LT_BS          60
POS_LW_NW          75
POS_KL_NW          80
POS_LT_NW          90
POS_LW_VW          105
POS_KL_VW          110
POS_LT_VW          120
POS_OMSCHR         140


    5                                       45   50        60             75   80        90             105  110       120                 140

*Afscheidingen                                                                                                                             21 
1   kd-bdrymetz                             18   53        bdrymetz       35   50        bdrymetz       35   50        bdrymetz            Boundary met Z
2   kd-bdryzonderz                          18   53        bdryzonderz    35   50        bdryzonderz    35   50        bdryzonderz         Boundary zonder Z
3   kd-bebouwing                            18   173       continuous     35   170       continuous     35   170       continuous          Bebouwing
4   kd-beheersgrens                         18   173       continuous     35   170       continuous     35   170       continuous          Beheersgrens algemeen
5   kd-bestemmingsplangrens                 18   173       continuous     35   7         continuous     35   7         continuous          Bestemmingsplan grens
6   kd-bhgrgemeente                         18   173       bhgrgemeente   35   170       bhgrgemeente   35   170       bhgrgemeente        Beheersgrens gemeente
7   kd-bhgrns                               18   173       bhgrns         35   170       bhgrns         35   170       bhgrns              Beheersgrens NS
8   kd-bhgrprov                             18   173       bhgrprov       35   170       bhgrprov       35   170       bhgrprov            Beheersgrens provincie
9   kd-bhgrrwswtpl                          18   173       bhgrrwswtpl    35   170       bhgrrwswtpl    35   170       bhgrrwswtpl         Beheersgrens tussen RWS en waterschap en/of polder
10  kd-bhgrwsrws                            18   173       bhgrrwsrws     35   170       bhgrrwsrws     35   170       bhgrrwsrws          Beheersgrens tussen RWS en RWS
11  kd-bhgrwt                               18   173       bhgrwt         35   170       bhgrwt         35   170       bhgrwt              Beheersgrens waterschap
12  kd-bhgrwtpl                             18   173       bhgrwtpl       35   170       bhgrwtpl       35   170       bhgrwtpl            Beheersgrens tussen waterschap en/of polder
13  kd-bhondgrens                           18   173       bhondgr        35   170       bhondgr        35   170       bhondgr             Beheers- en onderhoudsgrens
14  kd-dakrand                              18   13        continuous     35   10        continuous     35   10        continuous          Dakrand
15  kd-gemeentegrens                        18   173       gemeentegr     35   170       gemeentegr     35   170       gemeentegr          Gemeentegrens
16  kd-grondwaterbg                         18   153       continuous     35   150       continuous     35   150       continuous          Grens grondwaterbeschermingsgebied
17  kd-kadastralegrens                      18   173       continuous     35   170       continuous     35   170       continuous          Kadastrale grens
18  kd-landsgrens                           18   173       landsgr        0    #         landsgr        0    #         landsgr             Landsgrens
